time,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5
2023-04-27,,,,,
2023-04-28,,,,,
2023-05-04,,,,,
2023-05-05,,,,,
2023-05-08,,,,,
2023-05-09,,,,,
2023-05-10,,,,,
2023-05-11,,,,,
2023-05-12,,,,,
2023-05-15,,1.366285996190146,,,
2023-05-16,,1.3453770485769796,,,
2023-05-17,,1.3032786435844845,,,
2023-05-18,,1.2696526512907576,,,
2023-05-19,,1.204650833481854,,,
2023-05-22,,1.2173856978853017,,,
2023-05-23,,1.2623338053037203,,,
2023-05-24,,1.31422284550711,,,
2023-05-25,,1.3419614411972478,,,
2023-05-26,,1.3788466389060787,,1.2082581857285524,
2023-05-29,,1.3904286489844515,,-0.13085156006878754,
2023-05-30,,1.3984500917806522,,-0.5340085161806105,
2023-05-31,,1.3986277274299772,,-0.8196593493472808,
2023-06-01,,1.3978558841391604,,-1.2175747822306247,
2023-06-02,,1.403330112335074,,-1.491047234840971,
2023-06-05,,1.4069073982330815,,-1.4297128430953288,1.33479768226597
2023-06-06,,1.4029795020588889,,-1.436680186910542,0.7294131330528998
2023-06-07,,1.3820939080077088,,-0.7879333817407292,1.2271872877388372
2023-06-08,,1.3838310089730381,,0.02169560572525176,-0.2403272872966468
2023-06-09,,1.3814642902159378,,1.0567413244181296,-0.2403272872966468
2023-06-12,0.04724127028404377,1.3894960955411815,,0.6617055452366315,-0.2403272872966468
2023-06-13,0.06325786815763416,1.3783129942055694,,0.8757932434673533,1.7145553801944302
2023-06-14,0.05691245232129209,1.3783129942055694,,1.1156639774492128,-0.2403272872966468
2023-06-15,-0.0022861597152855407,1.379790432065539,,1.20836171790502,-0.2403272872966468
2023-06-16,0.046069606495358115,1.3938170658294635,-0.778838414633064,0.8406861101953425,-0.2403272872966468
2023-06-19,0.022162943611971103,1.4181010329142252,-0.03197765879865727,0.694132741422561,-0.2403272872966468
2023-06-20,0.013239334778834686,1.422488147752006,0.11739449236822422,-0.23017492685570096,-0.2403272872966468
2023-06-21,0.01314727116418824,1.4318049899142256,0.5655109458688684,-0.08363318210729624,-0.2403272872966468
2023-06-22,0.060310401357514296,1.4292227690412942,0.26676664353510554,-0.28576157070094366,1.0786509107588904
2023-06-23,0.059677778780029264,1.4197826192996512,-0.18134980996553843,-1.4690736492702055,2.796860974015915
2023-06-26,0.056986562218889654,1.413075274478979,-0.4800941122993011,-1.4615383193662308,0.4626865382422276
2023-06-27,0.037973491859990244,1.412764116356936,-1.3763270193005894,-1.4376732172645947,-0.9940176763091852
2023-06-28,0.10494431235502512,1.4294492393618508,-0.3307219611324199,-1.518404799439683,3.1643462259908017
2023-06-29,0.05152159462202366,1.4208727537287913,0.26676664353510554,-1.1332170269091169,1.0130099471867244
2023-06-30,-0.0023590256180238494,1.4328324806428052,-0.778838414633064,0.536290273116757,-0.2403272872966468
2023-07-03,0.03256174514723593,1.4042631937814078,-0.03197765879865727,-0.8534387393468981,-0.4294277179006737
2023-07-04,0.055882215603457255,1.3882330053293226,0.26676664353510554,1.1746648716136445,-0.2403272872966468
2023-07-05,-0.006695198412515974,1.358249537770683,0.5655109458688684,0.6107964679448266,0.07850225552345798
2023-07-06,0.028112821007228908,1.358249537770683,0.4161387947019869,1.057465680550312,-0.2403272872966468
2023-07-07,0.03472472480411196,1.358249537770683,0.4161387947019869,1.1632787540626592,-1.2329999906536648
2023-07-10,0.2587674168007802,1.3962451363062554,1.4617438528701565,-1.51994089621437,4.664774562668438
2023-07-11,0.14295562604713102,1.387604348659285,1.0136273993695124,-1.509893053481757,1.4868047175062857
2023-07-12,0.12394242553613882,1.3891433170460272,1.4617438528701565,-1.3150818523492869,0.9724051055847086
2023-07-13,0.08867196938163197,1.3693050367955877,1.4617438528701565,-1.2454894201771614,0.3237452776189831
2023-07-14,0.20833729858062056,1.2947389784267478,1.4617438528701565,0.6658282953163448,1.2165481579691513
2023-07-17,-0.20454886216570625,1.258329101280598,0.864255248202631,0.5169201317197467,0.6391711249712178
2023-07-18,-0.06355604546205931,1.1906627951078943,0.7148830970357497,0.5450744845770706,-0.1423651604842632
2023-07-19,0.03843882729183002,1.1324150584161978,-0.03197765879865727,1.019748008251616,0.6899763005467814
2023-07-20,-0.06732961694909492,1.0345692431624582,-1.0775827169668266,0.9658830928612696,-1.1880581125823135
2023-07-21,-0.09582132606636874,0.9013940116558262,-1.226954868133708,0.9176598751891482,-0.531179758604645
2023-07-24,0.008485358373963896,0.9009209900068053,-1.0775827169668266,0.9477956089891411,0.14964045998586967
2023-07-25,0.03325126790684881,0.8999927556809129,-1.3763270193005894,0.8807299973291726,-0.37501200008677793
2023-07-26,0.0386758952817833,0.901234513013909,-1.3763270193005894,0.5377477258775238,0.5444543082133595
2023-07-27,0.09266922959353166,0.9037862290635654,-1.3763270193005894,0.7794670270905979,-0.8288957214631932
2023-07-28,0.07962503943774049,0.9045868238296081,-0.9282105657999452,0.48734134924715194,-0.2701556320556688
2023-07-31,0.026971275441072917,0.8847236156526603,-0.3307219611324199,-0.43537083919439235,-0.13698078795721624
2023-08-01,0.30974682251913555,0.8951926357331392,0.5655109458688684,-1.4556254174734578,2.2838468089861594
2023-08-02,0.042148594179967205,0.8918826804051567,1.1629995505363937,-1.5183182017946353,0.33670182651627006
2023-08-03,0.13433025775572616,0.8540107213638758,1.4617438528701565,-1.2743824498630967,-0.038444827794045275
2023-08-04,0.09785593998918282,0.825944434052431,1.3123717017032752,-0.3949558695790976,0.0393317032189235
